Class,"ACCOUNT","CANCEL","CONTACT","DELIVERY","FEEDBACK","INVOICE","ORDER","PAYMENT","REFUND","SHIPPING","SUBSCRIPTION"
ACC,0.88631,0.99881,0.99814,0.9258,0.92568,0.99978,0.96305,0.98724,0.88237,0.99914,0.96294
AGF,0.83265,0.99653,0.99698,0.0,0.0,0.99968,0.95815,0.98157,0.81155,0.99874,0.90947
AGM,0.87331,0.99908,0.99831,0,0,0.99982,0.96295,0.98958,0.86249,0.99932,0.97121
AM,47,32,46,-1994,-1997,6,693,339,1809,23,996
AUC,0.83724,0.99938,0.99853,0.5,0.5,0.99988,0.96277,0.99264,0.835,0.99954,0.98075
AUCI,Very Good,Excellent,Excellent,Poor,Poor,Excellent,Excellent,Excellent,Very Good,Excellent,Excellent
AUPR,0.74583,0.98371,0.98776,None,None,0.9985,0.89115,0.92654,0.62823,0.99423,0.75038
BB,0.74291,0.96741,0.97653,0.0,0.0,0.99701,0.81991,0.85409,0.4824,0.98846,0.50075
BCD,0.00087,0.0006,0.00086,0.0371,0.03716,0.00011,0.01289,0.00631,0.03366,0.00043,0.01853
BM,0.67449,0.99877,0.99707,0.0,0.0,0.99976,0.92555,0.98529,0.67,0.99908,0.9615
CEN,0.25518,0.02267,0.02222,0.31857,0.23401,0.00325,0.12465,0.08233,0.32984,0.01066,0.1231
DOR,37.14979,None,516411.71875,None,None,None,668.98662,71800.39296,29.49699,None,None
DP,0.86556,None,3.14974,None,None,None,1.55773,2.67732,0.81033,None,None
DPI,Poor,None,Good,None,None,None,Limited,Fair,Poor,None,None
ERR,0.11369,0.00119,0.00186,0.0742,0.07432,0.00022,0.03695,0.01276,0.11763,0.00086,0.03706
F0.5,0.74407,0.97376,0.98094,0.0,0.0,0.9976,0.84493,0.87961,0.52172,0.99075,0.5563
F1,0.74582,0.98344,0.98764,0.0,0.0,0.9985,0.88545,0.92088,0.59438,0.9942,0.66733
F2,0.74757,0.99331,0.99442,0.0,0.0,0.9994,0.93006,0.96621,0.69056,0.99767,0.83375
